Age,Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1,1,476918,478148,478420,476628,474630,471417,468512,464570,459922,455094,451090,447704,444947,441891,439683,438545,438555,438672,439206,440200,441559,443124
2,1,54543,55737,57106,59590,61452,62626,63335,63919,65579,66382,65713,64290,63133,62999,62733,61087,59175,58270,58182,57790,57417,57247
3,1,63072,61334,61069,62388,63908,66452,68476,69918,70802,71421,73167,74100,73594,71993,70786,70717,70423,68621,66552,65485,65408,64990
4,1,176476,174300,170939,167647,165432,164609,165049,168352,172556,177432,180953,184845,187792,190694,191384,191626,190646,189572,187247,184770,181736,179265
5,1,347702,347608,346621,345679,343235,340265,335959,329119,321735,316751,313010,310934,310442,311034,313282,315689,319527,324825,331273,336307,340010,342850
6,1,305080,309276,314488,320232,326112,328991,331260,335422,339783,341939,343724,343333,342331,341516,339128,336380,332301,325855,318891,314182,310656,308714
7,1,354833,344828,335550,325402,317255,312735,310130,305999,303454,303828,306233,310298,315323,320909,326704,329500,331695,335663,339808,341866,343618,343235
8,1,418494,425901,432084,437633,440911,442349,441684,442146,441088,436578,428446,419376,410074,398930,389608,383839,380437,377347,374599,371020,369179,370856
9,1,470018,477429,484859,492037,500113,509239,519598,529898,539515,549792,561332,572991,584225,595496,605490,614517,622184,628964,634810,641540,646232,648302
1,2,1404982,1412653,1417243,1417550,1415941,1411148,1406887,1401261,1393314,1383318,1375729,1368837,1362593,1355989,1351753,1351028,1353488,1356174,1360101,1365339,1371726,1378736
2,2,157340,160898,166077,172238,177498,182092,184488,185139,188735,193060,192784,189964,189071,189454,188410,183626,178131,176100,176268,175470,174760,174590
3,2,165106,161479,160491,164121,169138,175100,180414,185048,187527,188249,191956,196172,195924,193049,191972,192438,191320,186582,181111,178984,179109,178303
4,2,463513,459294,452189,442473,436500,432722,434424,442075,453291,466674,476867,486508,494485,502959,505796,508313,508911,508141,503398,498037,490996,484670
5,2,979949,979386,979271,980651,975206,969654,958327,941988,925702,914391,907021,903650,903701,905026,912356,919085,930607,946192,965894,982143,994746,1005132
6,2,878473,890921,905191,921288,938963,950465,959530,971855,981374,986088,989739,988366,987477,987965,982121,976346,965220,949195,933128,922032,914726,911375
7,2,991824,971635,951855,928273,908379,893942,887437,878333,874019,876509,883398,895319,909115,924771,941988,952946,961590,973364,982576,987146,990810,989495
8,2,1067880,1089831,1109486,1130461,1147023,1161117,1169551,1179033,1182681,1176761,1162539,1146031,1125931,1102466,1083206,1069644,1062081,1053572,1048856,1042812,1040259,1046153
9,2,1220505,1237262,1253306,1268099,1285134,1304758,1325924,1347673,1370499,1396197,1424745,1452907,1481916,1510623,1536453,1562163,1585563,1608995,1628620,1649754,1666502,1677251
